# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mRp.clN.saf" "-s" "0" "-o" "consensus_peaks.mRp.clN.featureCounts.txt" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam
Interval_489	VI	176711	176920	+	210	7	3	3	6
Interval_490	VI	182605	184379	+	1775	58	53	47	52
Interval_491	VI	191553	191940	+	388	6	6	4	6
Interval_492	VI	194147	194549	+	403	4	0	0	4
Interval_493	VI	204738	205229	+	492	14	8	7	13
Interval_494	VI	210604	211364	+	761	13	6	6	12
Interval_495	VI	212906	213166	+	261	5	6	6	5
Interval_496	VI	221552	221929	+	378	40	39	27	32
Interval_497	VI	224817	226860	+	2044	140	115	105	123
Interval_498	VI	233661	233917	+	257	5	6	6	5
Interval_499	VI	249853	250058	+	206	6	5	4	4
Interval_500	VI	251873	252378	+	506	13	6	5	13
Interval_501	VI	255453	256489	+	1037	22	6	5	21
Interval_502	VI	263154	263897	+	744	12	15	14	11
Interval_503	VI	269914	270161	+	248	10	8	13	10
Interval_504	VII	0	684	+	685	50	43	35	30
Interval_505	VII	10153	10482	+	330	6	8	8	5
Interval_506	VII	23172	23775	+	604	30	23	19	29
Interval_507	VII	55710	56510	+	801	15	11	8	15
Interval_508	VII	67187	67598	+	412	19	7	7	17
Interval_509	VII	73426	74758	+	1333	40	20	19	37
Interval_510	VII	81172	81405	+	234	5	4	5	5
Interval_511	VII	93724	95626	+	1903	18	15	16	18
Interval_512	VII	110480	110943	+	464	18	11	10	14
Interval_513	VII	115491	115917	+	427	14	14	13	11
Interval_514	VII	121882	122576	+	695	22	14	12	20
Interval_515	VII	123430	124221	+	792	8	5	4	8
Interval_516	VII	148971	149403	+	433	28	18	17	26
Interval_517	VII	152844	153097	+	254	8	12	9	7
Interval_518	VII	156290	156490	+	201	4	7	5	4
Interval_519	VII	157531	157804	+	274	7	4	4	7
Interval_520	VII	159334	159608	+	275	4	5	4	4
Interval_521	VII	165098	166727	+	1630	30	24	26	29
Interval_522	VII	190711	191122	+	412	8	10	7	6
Interval_523	VII	197142	198036	+	895	29	18	16	31
Interval_524	VII	205310	206662	+	1353	34	14	13	31
Interval_525	VII	228351	228722	+	372	15	9	9	14
Interval_526	VII	229904	230139	+	236	12	2	2	11
Interval_527	VII	254256	255521	+	1266	18	12	9	16
Interval_528	VII	271185	272272	+	1088	90	69	62	78
Interval_529	VII	277021	277556	+	536	18	19	15	15
Interval_530	VII	284133	284344	+	212	6	1	0	4
Interval_531	VII	287100	287596	+	497	12	8	7	10
Interval_532	VII	289406	289606	+	201	6	2	2	6
Interval_533	VII	306298	306567	+	270	8	4	3	7
Interval_534	VII	310663	312451	+	1789	18	17	13	16
Interval_535	VII	316639	316829	+	191	5	3	1	3
Interval_536	VII	319711	320035	+	325	9	8	6	9
Interval_537	VII	323752	324138	+	387	8	9	9	8
Interval_538	VII	324664	325065	+	402	8	7	4	8
Interval_539	VII	345629	346269	+	641	9	11	8	9
Interval_540	VII	347018	347769	+	752	10	5	3	8
Interval_541	VII	366072	366407	+	336	7	14	15	6
Interval_542	VII	368302	368649	+	348	13	8	7	12
Interval_543	VII	370931	371648	+	718	25	29	27	20
Interval_544	VII	377109	377360	+	252	4	2	1	3
Interval_545	VII	383354	383615	+	262	7	5	3	6
Interval_546	VII	384582	385202	+	621	37	27	22	33
Interval_547	VII	397866	399670	+	1805	69	54	50	61
Interval_548	VII	404387	404676	+	290	3	4	3	2
Interval_549	VII	405410	405687	+	278	12	1	1	9
Interval_550	VII	413105	413916	+	812	33	28	25	31
Interval_551	VII	422883	423712	+	830	26	13	11	22
Interval_552	VII	428162	428505	+	344	12	11	10	12
Interval_553	VII	433106	433937	+	832	22	19	16	19
Interval_554	VII	438240	438883	+	644	20	20	17	23
Interval_555	VII	443307	443559	+	253	6	5	4	5
Interval_556	VII	472473	472709	+	237	8	3	2	7
Interval_557	VII	482958	484206	+	1249	43	69	64	43
Interval_558	VII	506664	506869	+	206	4	5	4	4
Interval_559	VII	516171	516716	+	546	18	10	10	16
Interval_560	VII	525526	525884	+	359	7	7	7	5
Interval_561	VII	528373	528898	+	526	17	10	9	17
Interval_562	VII	534776	535210	+	435	8	9	9	7
Interval_563	VII	541716	541938	+	223	2	4	3	2
Interval_564	VII	544427	544798	+	372	9	11	7	8
Interval_565	VII	546257	547767	+	1511	33	18	14	30
Interval_566	VII	555250	555707	+	458	14	18	14	14
Interval_567	VII	557673	557873	+	201	9	4	4	7
Interval_568	VII	560137	560370	+	234	11	4	4	8
Interval_569	VII	561604	561909	+	306	7	6	3	6
Interval_570	VII	576463	577069	+	607	18	13	13	19
Interval_571	VII	581747	581947	+	201	6	3	2	5
Interval_572	VII	584033	584670	+	638	12	7	7	11
Interval_573	VII	591614	593065	+	1452	52	31	30	50
Interval_574	VII	598927	599254	+	328	15	7	7	14
Interval_575	VII	609245	610449	+	1205	47	29	29	44
Interval_576	VII	617645	618032	+	388	11	4	3	10
Interval_577	VII	625147	625609	+	463	27	8	7	21
Interval_578	VII	640471	640823	+	353	11	7	7	10
Interval_579	VII	649015	649215	+	201	4	5	5	4
Interval_580	VII	650710	651141	+	432	23	14	14	21
Interval_581	VII	654076	654358	+	283	11	8	6	11
Interval_582	VII	661710	662083	+	374	13	13	11	13
Interval_583	VII	667821	668068	+	248	5	7	6	4
Interval_584	VII	676261	676616	+	356	6	3	3	6
Interval_585	VII	677598	678026	+	429	11	4	5	11
Interval_586	VII	700604	700980	+	377	18	5	4	16
Interval_587	VII	702728	703280	+	553	16	14	13	16
Interval_588	VII	706819	707245	+	427	6	10	9	4
Interval_589	VII	726474	726967	+	494	26	23	21	24
Interval_590	VII	733146	733732	+	587	16	14	13	16
Interval_591	VII	739048	739843	+	796	40	15	13	36
Interval_592	VII	753958	754357	+	400	7	4	3	7
Interval_593	VII	756495	756827	+	333	8	4	4	8
Interval_594	VII	765078	765287	+	210	4	3	1	4
Interval_595	VII	766005	766552	+	548	21	14	12	20
Interval_596	VII	771986	772277	+	292	8	10	8	9
Interval_597	VII	774323	774760	+	438	27	19	16	22
Interval_598	VII	779725	779925	+	201	2	4	4	2
Interval_599	VII	785394	786047	+	654	32	20	20	32
Interval_600	VII	788229	788813	+	585	31	20	17	24
Interval_601	VII	794253	794453	+	201	7	2	2	7
Interval_602	VII	798110	798456	+	347	10	8	8	6
Interval_603	VII	809668	810142	+	475	28	16	13	25
Interval_604	VII	810973	811251	+	279	8	5	5	7
Interval_605	VII	823320	823886	+	567	9	10	9	10
Interval_606	VII	834579	835372	+	794	8	4	4	8
Interval_607	VII	845418	845914	+	497	7	6	6	6
Interval_608	VII	848748	849087	+	340	9	7	5	7
Interval_609	VII	850605	851168	+	564	11	4	2	12
Interval_610	VII	856492	857790	+	1299	53	37	29	49
Interval_611	VII	882660	884468	+	1809	64	76	63	56
Interval_612	VII	894183	894626	+	444	9	7	4	8
Interval_613	VII	904951	905855	+	905	75	45	40	66
Interval_614	VII	912974	913541	+	568	11	7	6	11
Interval_615	VII	914831	915158	+	328	15	6	6	12
Interval_616	VII	919757	920591	+	835	30	36	32	29
Interval_617	VII	930985	931241	+	257	3	4	4	3
Interval_618	VII	939098	939886	+	789	12	8	6	11
Interval_619	VII	953603	953864	+	262	10	3	3	8
Interval_620	VII	958464	959766	+	1303	16	26	24	16
Interval_621	VII	974222	974877	+	656	14	16	17	12
Interval_622	VII	976809	977202	+	394	16	11	11	16
Interval_623	VII	986897	987750	+	854	41	37	32	42
Interval_624	VII	1000021	1000768	+	748	38	44	42	34
Interval_625	VII	1007487	1007755	+	269	5	6	4	5
Interval_626	VII	1011244	1011444	+	201	6	3	3	5
Interval_627	VII	1022017	1022253	+	237	3	9	8	2
Interval_628	VII	1025916	1027205	+	1290	32	19	18	29
Interval_629	VII	1050189	1050638	+	450	15	10	8	15
Interval_630	VII	1051853	1052644	+	792	12	14	12	12
Interval_631	VII	1060007	1060260	+	254	6	4	4	6
Interval_632	VII	1061747	1062175	+	429	10	5	3	9
Interval_633	VII	1064845	1065364	+	520	12	7	7	12
Interval_634	VII	1069380	1070198	+	819	9	9	8	9
Interval_635	VII	1083725	1084551	+	827	66	60	47	57
Interval_636	VIII	0	346	+	347	41	34	17	23
Interval_637	VIII	4934	5498	+	565	17	24	19	13
Interval_638	VIII	10727	11131	+	405	5	6	4	5
Interval_639	VIII	17341	18085	+	745	12	18	15	12
Interval_640	VIII	34648	35082	+	435	9	7	7	9
Interval_641	VIII	47982	48697	+	716	27	37	34	26
Interval_642	VIII	50699	50908	+	210	12	7	4	10
Interval_643	VIII	54464	56305	+	1842	55	32	29	52
Interval_644	VIII	62474	62827	+	354	7	7	6	6
Interval_645	VIII	98226	98990	+	765	35	26	23	32
Interval_646	VIII	103812	104181	+	370	9	7	6	9
Interval_647	VIII	115075	116151	+	1077	14	14	11	13
Interval_648	VIII	122081	122798	+	718	36	54	50	31
Interval_649	VIII	125995	126403	+	409	25	19	17	24
Interval_650	VIII	132976	133378	+	403	6	4	4	4
Interval_651	VIII	134107	134448	+	342	5	3	2	5
Interval_652	VIII	143612	143911	+	300	13	7	7	9
Interval_653	VIII	146190	146413	+	224	13	8	7	12
Interval_654	VIII	148736	149159	+	424	15	24	21	14
Interval_655	VIII	150906	151418	+	513	7	10	8	7
Interval_656	VIII	175010	175403	+	394	10	5	3	9
Interval_657	VIII	190061	190579	+	519	13	12	12	13
Interval_658	VIII	209035	209479	+	445	4	5	5	4
Interval_659	VIII	222633	222861	+	229	7	6	5	6
Interval_660	VIII	227246	227446	+	201	5	7	5	3
Interval_661	VIII	236043	236566	+	524	34	31	28	29
Interval_662	VIII	255966	256444	+	479	7	2	3	6
Interval_663	VIII	267094	267446	+	353	11	10	10	9
Interval_664	VIII	272335	272894	+	560	17	7	7	14
Interval_665	VIII	280163	280603	+	441	8	9	7	8
Interval_666	VIII	292827	294009	+	1183	31	34	33	31
Interval_667	VIII	296759	297192	+	434	22	13	12	20
Interval_668	VIII	315880	316307	+	428	7	6	6	6
Interval_669	VIII	341627	342261	+	635	11	5	4	11
Interval_670	VIII	354559	355111	+	553	9	5	5	8
Interval_671	VIII	368005	368473	+	469	4	7	6	4
Interval_672	VIII	374306	375575	+	1270	32	18	17	27
Interval_673	VIII	382782	383240	+	459	32	23	21	30
Interval_674	VIII	388638	388950	+	313	13	6	5	10
Interval_675	VIII	401081	401320	+	240	8	4	3	8
Interval_676	VIII	422387	422863	+	477	18	12	12	17
Interval_677	VIII	424133	424526	+	394	3	5	4	2
Interval_678	VIII	437099	437588	+	490	5	7	6	4
Interval_679	VIII	450639	453305	+	2667	71	94	86	61
Interval_680	VIII	466915	467208	+	294	8	7	5	8
Interval_681	VIII	470526	470777	+	252	3	8	7	2
Interval_682	VIII	487975	489075	+	1101	11	6	7	11
Interval_683	VIII	497012	499016	+	2005	26	13	11	24
Interval_684	VIII	505519	506113	+	595	26	21	19	24
Interval_685	VIII	512140	512438	+	299	9	6	5	9
Interval_686	VIII	517271	518065	+	795	6	8	8	5
Interval_687	VIII	518568	518768	+	201	2	4	3	1
Interval_688	VIII	521983	522185	+	203	5	6	3	5
Interval_689	VIII	531513	531760	+	248	9	2	2	9
Interval_690	VIII	540826	541365	+	540	7	10	6	7
Interval_691	VIII	548692	549436	+	745	10	17	6	3
Interval_692	VIII	553941	554141	+	201	1	5	6	3
Interval_693	VIII	556264	557057	+	794	40	47	39	39
Interval_694	X	30671	31227	+	557	8	7	6	7
Interval_695	X	36087	36870	+	784	12	12	11	12
Interval_696	X	58920	59341	+	422	6	9	6	6
Interval_697	X	60206	60746	+	541	12	5	4	12
Interval_698	X	68854	69251	+	398	23	5	4	20
Interval_699	X	73552	75829	+	2278	42	40	39	43
Interval_700	X	79572	80010	+	439	8	9	7	7
Interval_701	X	82642	83681	+	1040	20	14	14	19
Interval_702	X	90149	90658	+	510	39	24	24	35
Interval_703	X	101717	101947	+	231	4	2	2	2
Interval_704	X	104794	105106	+	313	8	1	1	7
Interval_705	X	106071	106475	+	405	8	6	5	6
Interval_706	X	115681	116601	+	921	34	19	16	30
Interval_707	X	119890	120810	+	921	30	36	34	28
Interval_708	X	123223	123646	+	424	14	16	16	11
Interval_709	X	136289	137248	+	960	21	17	18	21
Interval_710	X	139584	140272	+	689	12	7	6	11
Interval_711	X	146151	146751	+	601	6	4	3	6
Interval_712	X	150615	150835	+	221	8	7	6	8
Interval_713	X	157359	158010	+	652	18	27	25	18
Interval_714	X	159757	160408	+	652	43	23	24	42
Interval_715	X	173155	173580	+	426	10	10	10	7
Interval_716	X	180398	180598	+	201	5	2	2	4
Interval_717	X	189525	189832	+	308	6	4	4	5
Interval_718	X	195325	196153	+	829	21	33	30	21
Interval_719	X	204723	205211	+	489	13	4	3	11
Interval_720	X	220176	220745	+	570	23	22	21	20
Interval_721	X	223986	224469	+	484	13	18	17	11
Interval_722	X	227805	228400	+	596	9	17	13	8
Interval_723	X	236459	236909	+	451	10	10	9	9
Interval_724	X	241622	241853	+	232	6	6	5	6
Interval_725	X	256853	257126	+	274	6	5	4	5
Interval_726	X	268399	268719	+	321	7	6	6	6
Interval_727	X	278258	278640	+	383	5	0	1	4
Interval_728	X	291158	291511	+	354	7	10	13	7
Interval_729	X	294272	295140	+	869	47	38	39	45
Interval_730	X	316473	316746	+	274	6	7	6	5
Interval_731	X	337365	337949	+	585	13	15	13	12
Interval_732	X	348917	349431	+	515	6	6	7	5
Interval_733	X	354159	354489	+	331	10	5	4	9
Interval_734	X	355398	355788	+	391	11	8	5	8
Interval_735	X	360540	361090	+	551	17	12	12	17
Interval_736	X	374006	375019	+	1014	15	16	14	15
Interval_737	X	378389	378651	+	263	12	7	7	10
Interval_738	X	381068	381268	+	201	3	6	4	3
Interval_739	X	383475	383665	+	191	6	2	1	5
Interval_740	X	391175	392269	+	1095	41	40	37	34
Interval_741	X	396695	397061	+	367	5	7	5	4
Interval_742	X	413482	413715	+	234	6	6	6	5
Interval_743	X	414978	416114	+	1137	15	14	12	12
Interval_744	X	421632	421832	+	201	5	3	3	5
Interval_745	X	424164	425012	+	849	20	19	16	18
Interval_746	X	453717	453914	+	198	4	7	7	3
Interval_747	X	454789	455974	+	1186	38	32	33	32
Interval_748	X	466201	467503	+	1303	26	15	11	24
Interval_749	X	471739	471939	+	201	6	4	4	5
Interval_750	X	517586	518115	+	530	11	8	8	10
Interval_751	X	521708	522010	+	303	13	12	9	12
Interval_752	X	524047	525064	+	1018	19	9	9	12
Interval_753	X	525593	526208	+	616	12	16	15	15
Interval_754	X	531548	532285	+	738	9	11	9	8
Interval_755	X	538484	538799	+	316	7	7	5	6
Interval_756	X	545269	545968	+	700	22	11	11	17
Interval_757	X	555625	555827	+	203	6	4	4	5
Interval_758	X	578281	578743	+	463	6	7	8	5
Interval_759	X	585382	585968	+	587	10	5	6	9
Interval_760	X	598369	598661	+	293	12	6	6	9
Interval_761	X	607967	608270	+	304	10	10	9	6
Interval_762	X	609012	609251	+	240	12	6	6	11
Interval_763	X	615177	615691	+	515	14	5	5	11
Interval_764	X	617816	618157	+	342	18	6	5	12
Interval_765	X	623052	623720	+	669	30	19	18	26
Interval_766	X	628814	629061	+	248	6	1	1	4
Interval_767	X	633081	633447	+	367	11	8	5	10
Interval_768	X	638712	639757	+	1046	42	23	26	42
Interval_769	X	640437	640644	+	208	12	2	3	12
Interval_770	X	646525	647363	+	839	34	27	23	35
Interval_771	X	651328	651836	+	509	25	16	15	22
Interval_772	X	656120	656323	+	204	2	2	2	1
Interval_773	X	662915	663827	+	913	52	30	26	47
Interval_774	X	683474	684646	+	1173	20	7	6	20
Interval_775	X	690587	690882	+	296	2	10	7	2
Interval_776	X	703138	704138	+	1001	70	69	65	67
Interval_777	X	715941	716197	+	257	8	8	5	7
Interval_778	X	717956	718168	+	213	9	2	1	9
Interval_779	X	719146	719393	+	248	5	5	5	4
Interval_780	X	721522	721764	+	243	4	4	4	4
Interval_781	X	745006	745751	+	746	42	38	27	23
Interval_782	XI	0	701	+	702	64	55	52	52
Interval_783	XI	24690	26213	+	1524	25	22	21	26
Interval_784	XI	38255	39015	+	761	16	13	12	15
Interval_785	XI	46219	46909	+	691	9	5	5	8
Interval_786	XI	48038	48435	+	398	7	2	2	7
Interval_787	XI	67764	68870	+	1107	46	43	40	40
Interval_788	XI	69577	69777	+	201	6	7	7	6
Interval_789	XI	73934	74789	+	856	10	8	7	10
Interval_790	XI	75617	75841	+	225	2	10	9	2
Interval_791	XI	80471	81119	+	649	15	11	10	15
Interval_792	XI	82724	83031	+	308	8	6	4	8
Interval_793	XI	84034	84246	+	213	6	4	2	5
Interval_794	XI	93437	93951	+	515	18	14	13	18
Interval_795	XI	99304	100111	+	808	58	46	43	56
Interval_796	XI	106781	106980	+	200	3	6	4	2
Interval_797	XI	108858	109304	+	447	8	10	10	8
Interval_798	XI	118438	118972	+	535	6	5	5	4
Interval_799	XI	134093	134300	+	208	6	4	3	5
Interval_800	XI	140859	141112	+	254	6	8	7	5
Interval_801	XI	143242	143523	+	282	8	7	7	6
Interval_802	XI	146843	147163	+	321	9	10	8	7
Interval_803	XI	154536	154725	+	190	2	3	3	3
Interval_804	XI	158274	158602	+	329	14	7	5	12
Interval_805	XI	163580	164908	+	1329	31	35	35	30
Interval_806	XI	166091	166329	+	239	5	6	5	5
Interval_807	XI	171380	171896	+	517	12	7	8	13
Interval_808	XI	176539	176739	+	201	4	4	2	4
Interval_809	XI	202970	203409	+	440	15	12	12	14
Interval_810	XI	216693	217223	+	531	17	8	9	15
Interval_811	XI	219786	220253	+	468	14	10	8	13
Interval_812	XI	225977	226422	+	446	13	8	7	12
Interval_813	XI	230318	231750	+	1433	48	43	39	46
Interval_814	XI	247880	248509	+	630	9	10	9	9
Interval_815	XI	258394	259011	+	618	40	30	31	34
Interval_816	XI	260238	260912	+	675	23	17	18	22
Interval_817	XI	277952	278867	+	916	14	16	13	13
Interval_818	XI	280199	280465	+	267	5	7	6	5
Interval_819	XI	302852	303217	+	366	4	9	8	3
Interval_820	XI	308055	309111	+	1057	33	25	22	29
Interval_821	XI	317051	317427	+	377	7	8	7	6
Interval_822	XI	321849	322796	+	948	27	20	18	29
Interval_823	XI	326649	328305	+	1657	37	45	43	38
Interval_824	XI	333458	334076	+	619	5	9	9	2
Interval_825	XI	338977	339760	+	784	13	16	13	10
Interval_826	XI	340619	341000	+	382	11	10	10	9
Interval_827	XI	355262	356302	+	1041	45	40	42	44
Interval_828	XI	361999	362440	+	442	7	3	3	6
Interval_829	XI	364511	364752	+	242	4	2	2	4
Interval_830	XI	369438	369662	+	225	2	2	3	3
Interval_831	XI	379379	379779	+	401	18	4	4	12
Interval_832	XI	381920	383504	+	1585	46	31	32	43
Interval_833	XI	385093	385773	+	681	18	18	14	14
Interval_834	XI	393295	393849	+	555	11	7	7	10
Interval_835	XI	408140	408600	+	461	12	10	7	10
Interval_836	XI	428922	429341	+	420	19	6	4	16
Interval_837	XI	431284	431795	+	512	16	28	23	16
Interval_838	XI	439366	439894	+	529	12	10	8	11
Interval_839	XI	451256	452149	+	894	7	12	9	9
Interval_840	XI	462757	463883	+	1127	21	20	17	20
Interval_841	XI	490848	491184	+	337	4	4	2	3
Interval_842	XI	506392	506693	+	302	5	6	5	5
Interval_843	XI	513170	514087	+	918	28	15	13	23
Interval_844	XI	518199	519284	+	1086	65	61	56	57
Interval_845	XI	526380	526588	+	209	3	2	1	3
Interval_846	XI	533668	533949	+	282	11	1	1	10
Interval_847	XI	535247	535843	+	597	6	9	9	6
Interval_848	XI	551009	551741	+	733	15	3	3	14
Interval_849	XI	554746	554978	+	233	6	4	4	5
Interval_850	XI	558155	559587	+	1433	10	11	10	11
Interval_851	XI	567270	567715	+	446	11	5	3	9
Interval_852	XI	571056	571444	+	389	9	7	6	9
Interval_853	XI	578341	579345	+	1005	19	19	17	15
Interval_854	XI	581008	582134	+	1127	33	12	12	33
Interval_855	XI	589647	590222	+	576	25	7	6	23
Interval_856	XI	608326	608678	+	353	11	1	1	11
Interval_857	XI	614041	615379	+	1339	36	26	24	34
Interval_858	XI	618733	619051	+	319	12	6	5	11
Interval_859	XI	630331	630903	+	573	17	15	13	15
Interval_860	XI	665993	666816	+	824	56	82	68	53
Interval_861	XII	0	304	+	305	42	31	20	21
Interval_862	XII	5517	6004	+	488	24	34	22	16
Interval_863	XII	11025	11973	+	949	39	42	30	28
Interval_864	XII	22748	23361	+	614	9	12	13	7
Interval_865	XII	28815	29015	+	201	6	3	3	4
Interval_866	XII	36636	37111	+	476	11	7	8	10
Interval_867	XII	40389	40615	+	227	9	3	3	8
Interval_868	XII	48602	49732	+	1131	13	13	15	11
Interval_869	XII	53910	54151	+	242	5	7	5	5
Interval_870	XII	65398	65765	+	368	10	5	4	11
Interval_871	XII	81130	81336	+	207	14	2	2	12
Interval_872	XII	83872	84540	+	669	35	15	12	31
Interval_873	XII	92425	92916	+	492	9	10	9	6
Interval_874	XII	100256	100642	+	387	6	1	1	5
Interval_875	XII	108281	109182	+	902	11	11	11	12
Interval_876	XII	124960	125360	+	401	18	4	3	16
Interval_877	XII	130879	131569	+	691	12	10	10	11
Interval_878	XII	153809	154075	+	267	4	2	2	4
Interval_879	XII	167724	168850	+	1127	14	5	5	12
Interval_880	XII	187326	187862	+	537	12	19	18	12
Interval_881	XII	198058	199850	+	1793	30	16	15	28
Interval_882	XII	212183	212459	+	277	2	6	4	3
Interval_883	XII	232243	234906	+	2664	54	70	69	53
Interval_884	XII	241828	242182	+	355	15	7	8	13
Interval_885	XII	253006	253786	+	781	32	13	11	30
Interval_886	XII	259588	260829	+	1242	21	14	13	19
Interval_887	XII	281676	282853	+	1178	7	13	13	8
Interval_888	XII	289436	289981	+	546	10	8	8	8
Interval_889	XII	300487	300852	+	366	4	5	2	4
Interval_890	XII	323160	323403	+	244	4	7	3	4
Interval_891	XII	329361	329638	+	278	14	5	5	12
Interval_892	XII	341123	341766	+	644	15	8	7	13
Interval_893	XII	346142	346489	+	348	3	3	1	2
Interval_894	XII	348170	348441	+	272	4	4	2	3
Interval_895	XII	369725	371355	+	1631	104	118	109	95
Interval_896	XII	377260	377460	+	201	5	6	4	3
Interval_897	XII	388527	389116	+	590	11	7	8	10
Interval_898	XII	390467	390801	+	335	11	8	5	9
Interval_899	XII	404122	404359	+	238	6	3	2	4
Interval_900	XII	410193	410689	+	497	4	11	9	3
Interval_901	XII	416747	417347	+	601	17	11	11	13
Interval_902	XII	423887	424902	+	1016	75	56	55	67
Interval_903	XII	440001	440626	+	626	11	8	8	10
Interval_904	XII	444955	445155	+	201	8	3	3	7
Interval_905	XII	448243	451078	+	2836	31	53	53	31
Interval_906	XII	459619	460834	+	1216	1422	2390	573	487
Interval_907	XII	489373	491014	+	1642	80	55	46	65
Interval_908	XII	498219	498848	+	630	10	11	8	10
Interval_909	XII	500105	500829	+	725	13	7	5	12
Interval_910	XII	504020	504388	+	369	10	8	8	8
Interval_911	XII	510457	510931	+	475	8	6	6	8
Interval_912	XII	514720	515149	+	430	13	6	6	11
Interval_913	XII	522034	522675	+	642	19	23	20	18
Interval_914	XII	540503	540836	+	334	6	6	5	4
Interval_915	XII	541859	542059	+	201	2	3	3	3
Interval_916	XII	543379	543622	+	244	3	3	2	3
Interval_917	XII	551876	552348	+	473	13	6	4	11
Interval_918	XII	553739	554401	+	663	14	10	10	14
Interval_919	XII	566352	566930	+	579	9	9	9	9
Interval_920	XII	586008	586253	+	246	8	2	2	8
Interval_921	XII	592491	592703	+	213	7	3	3	6
Interval_922	XII	603331	603963	+	633	11	7	6	11
Interval_923	XII	605036	605538	+	503	18	10	7	16
Interval_924	XII	611608	612130	+	523	14	8	8	14
Interval_925	XII	628279	628599	+	321	10	7	7	7
Interval_926	XII	637849	639568	+	1720	20	31	25	22
Interval_927	XII	645367	646050	+	684	24	17	17	22
Interval_928	XII	650758	651265	+	508	9	9	3	6
Interval_929	XII	658032	658644	+	613	23	27	21	23
Interval_930	XII	660200	660416	+	217	7	3	4	5
Interval_931	XII	664937	665640	+	704	20	8	8	18
Interval_932	XII	668934	669134	+	201	9	2	1	7
Interval_933	XII	704174	705030	+	857	33	21	19	34
Interval_934	XII	710452	710956	+	505	9	10	9	8
Interval_935	XII	713205	713495	+	291	13	4	4	12
Interval_936	XII	722532	723745	+	1214	31	23	21	29
Interval_937	XII	728189	728725	+	537	30	27	23	27
Interval_938	XII	737643	738254	+	612	10	11	10	9
Interval_939	XII	759028	759468	+	441	23	5	6	23
Interval_940	XII	764295	764905	+	611	9	5	3	9
Interval_941	XII	781519	781886	+	368	13	6	5	12
Interval_942	XII	783583	784615	+	1033	42	13	12	35
Interval_943	XII	789936	790402	+	467	8	10	8	6
Interval_944	XII	793661	793947	+	287	8	6	6	8
Interval_945	XII	796356	797285	+	930	36	30	29	31
Interval_946	XII	805100	805641	+	542	13	11	8	10
Interval_947	XII	808880	809563	+	684	44	27	26	40
Interval_948	XII	818585	819314	+	730	28	16	15	26
Interval_949	XII	826695	828680	+	1986	54	33	28	50
Interval_950	XII	830437	830850	+	414	10	9	8	10
Interval_951	XII	837549	840152	+	2604	63	55	53	60
Interval_952	XII	853309	853675	+	367	10	2	2	7
Interval_953	XII	875117	875521	+	405	24	11	11	20
Interval_954	XII	877412	878125	+	714	20	24	21	17
Interval_955	XII	897830	898201	+	372	11	4	4	9
Interval_956	XII	902788	904014	+	1227	14	14	14	15
Interval_957	XII	921544	922473	+	930	42	24	22	36
Interval_958	XII	924552	925078	+	527	33	33	23	29
Interval_959	XII	931763	932953	+	1191	46	40	36	45
Interval_960	XII	949602	950988	+	1387	33	33	30	32
Interval_961	XII	954468	954668	+	201	8	3	2	6
Interval_962	XII	962858	963126	+	269	6	6	5	4
Interval_963	XII	1001924	1003145	+	1222	12	13	13	10
Interval_964	XII	1012004	1012569	+	566	23	16	13	22
Interval_965	XII	1018884	1019261	+	378	13	11	12	11
Interval_966	XII	1028054	1028901	+	848	52	44	38	46
Interval_967	XII	1041515	1041791	+	277	5	6	5	4
Interval_968	XII	1043525	1043832	+	308	5	6	5	6
Interval_969	XII	1052015	1052215	+	201	4	4	4	4
Interval_970	XII	1064373	1065453	+	1081	88	82	71	65
Interval_971	XII	1071484	1071937	+	454	23	23	9	7
Interval_972	XIII	5431	5713	+	283	12	15	8	7
Interval_973	XIII	13212	13412	+	201	6	3	2	6
Interval_974	XIII	14431	14863	+	433	11	7	7	9
Interval_975	XIII	16840	17040	+	201	7	3	3	5
Interval_976	XIII	20142	20557	+	416	6	4	4	5
Interval_977	XIII	25939	26830	+	892	29	38	38	24
Interval_978	XIII	29832	30400	+	569	14	13	13	16
Interval_979	XIII	37354	37985	+	632	7	7	7	7
Interval_980	XIII	46566	47207	+	642	6	9	7	5
Interval_981	XIII	67692	68290	+	599	12	8	7	12
Interval_982	XIII	69733	70379	+	647	37	26	23	35
Interval_983	XIII	91055	92081	+	1027	24	18	15	23
Interval_984	XIII	101391	101786	+	396	13	8	7	12
Interval_985	XIII	104226	104645	+	420	12	6	5	9
Interval_986	XIII	119156	119576	+	421	8	15	12	8
