# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "consensus_peaks.mLb.clN.saf" "-s" "0" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam" "OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	OSMOTIC_STRESS_T100_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T100_SE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T150_SE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP1.mLb.clN.sorted.bam	OSMOTIC_STRESS_T0_PE_REP2.mLb.clN.sorted.bam	OSMOTIC_STRESS_T15_PE_REP1.mLb.clN.sorted.bam
Interval_416	IV	1219068	1219268	+	201	3	0	9	3	0	9
Interval_417	IV	1226364	1226849	+	486	6	3	11	7	3	14
Interval_418	IV	1228266	1228566	+	301	0	1	14	1	1	17
Interval_419	IV	1229507	1229968	+	462	3	4	22	3	4	22
Interval_420	IV	1233642	1234055	+	414	7	2	32	7	3	34
Interval_421	IV	1240128	1240364	+	237	0	4	1	0	5	2
Interval_422	IV	1242203	1243133	+	931	44	33	96	45	30	96
Interval_423	IV	1251409	1252084	+	676	17	11	30	19	10	35
Interval_424	IV	1256749	1257152	+	404	3	1	15	3	1	14
Interval_425	IV	1258201	1258772	+	572	4	0	19	4	1	20
Interval_426	IV	1261264	1261480	+	217	4	1	4	4	1	4
Interval_427	IV	1266432	1267419	+	988	15	13	34	17	14	40
Interval_428	IV	1269529	1270422	+	894	12	9	7	13	8	8
Interval_429	IV	1278509	1280200	+	1692	30	19	95	31	20	100
Interval_430	IV	1288066	1288266	+	201	3	0	8	4	1	10
Interval_431	IV	1288983	1289548	+	566	6	3	27	8	3	30
Interval_432	IV	1292716	1293324	+	609	2	4	13	2	4	17
Interval_433	IV	1294526	1294926	+	401	2	1	10	3	1	11
Interval_434	IV	1300784	1301721	+	938	30	16	43	32	20	46
Interval_435	IV	1305555	1305926	+	372	4	3	11	7	5	14
Interval_436	IV	1317789	1319332	+	1544	15	4	26	15	4	27
Interval_437	IV	1325211	1325449	+	239	1	1	8	1	3	9
Interval_438	IV	1330699	1331100	+	402	2	2	11	3	2	14
Interval_439	IV	1334010	1334493	+	484	3	4	24	5	5	25
Interval_440	IV	1337548	1338006	+	459	4	2	11	4	2	18
Interval_441	IV	1345256	1346065	+	810	14	7	49	14	7	52
Interval_442	IV	1350033	1350287	+	255	2	3	11	3	2	16
Interval_443	IV	1355567	1355998	+	432	24	14	31	27	16	33
Interval_444	IV	1358990	1359901	+	912	29	23	35	31	23	39
Interval_445	IV	1362306	1362740	+	435	9	10	44	13	11	47
Interval_446	IV	1366987	1367378	+	392	3	0	10	4	1	11
Interval_447	IV	1384748	1386933	+	2186	29	16	47	29	16	51
Interval_448	IV	1394659	1395082	+	424	4	3	11	6	3	14
Interval_449	IV	1401274	1401828	+	555	23	21	33	24	21	39
Interval_450	IV	1409993	1412036	+	2044	29	18	54	30	16	56
Interval_451	IV	1416949	1417182	+	234	2	2	7	2	2	10
Interval_452	IV	1419857	1421018	+	1162	15	10	32	15	11	33
Interval_453	IV	1428999	1429597	+	599	32	14	63	34	18	76
Interval_454	IV	1434390	1434723	+	334	10	4	23	12	3	25
Interval_455	IV	1445539	1446102	+	564	10	3	21	11	4	26
Interval_456	IV	1450822	1451211	+	390	14	8	21	13	9	20
Interval_457	IV	1454543	1455040	+	498	10	9	15	10	11	16
Interval_458	IV	1459389	1460208	+	820	16	7	33	17	7	39
Interval_459	IV	1461315	1461951	+	637	11	9	19	15	10	26
Interval_460	IV	1468576	1469380	+	805	49	39	75	55	38	87
Interval_461	IV	1476341	1477273	+	933	14	4	37	15	4	38
Interval_462	IV	1480189	1480521	+	333	3	2	12	3	2	11
Interval_463	IV	1489671	1491206	+	1536	67	64	89	75	71	103
Interval_464	IV	1493217	1493444	+	228	7	16	14	9	16	16
Interval_465	IV	1494032	1494247	+	216	7	7	19	8	9	23
Interval_466	IV	1496501	1497131	+	631	13	4	25	14	4	30
Interval_467	IV	1502431	1502708	+	278	5	9	11	6	10	13
Interval_468	IV	1506852	1507856	+	1005	17	11	126	20	12	136
Interval_469	IV	1517923	1518227	+	305	2	6	15	3	6	15
Interval_470	IV	1524712	1525616	+	905	60	55	52	77	63	57
Interval_471	IX	11	211	+	201	3	7	5	7	15	5
Interval_472	IX	21708	22210	+	503	10	10	8	13	10	10
Interval_473	IX	36374	37177	+	804	20	3	32	21	4	34
Interval_474	IX	53471	55103	+	1633	14	2	59	15	2	57
Interval_475	IX	68226	69527	+	1302	43	21	60	44	23	66
Interval_476	IX	73509	73694	+	186	4	0	1	4	0	1
Interval_477	IX	77309	77965	+	657	3	5	22	5	5	29
Interval_478	IX	83120	83417	+	298	1	4	11	1	4	14
Interval_479	IX	84752	85247	+	496	5	5	19	5	5	18
Interval_480	IX	93310	93649	+	340	2	3	11	2	4	14
Interval_481	IX	96289	96718	+	430	12	3	13	12	5	16
Interval_482	IX	99466	99935	+	470	30	29	64	34	30	70
Interval_483	IX	102302	102644	+	343	12	5	17	15	6	19
Interval_484	IX	106065	106321	+	257	0	2	0	1	4	1
Interval_485	IX	117622	117986	+	365	5	6	15	6	9	16
Interval_486	IX	122224	122443	+	220	2	2	10	2	2	14
Interval_487	IX	127782	127954	+	173	4	4	11	7	4	12
Interval_488	IX	129879	130247	+	369	4	5	25	5	5	29
Interval_489	IX	131846	132310	+	465	10	8	25	10	8	29
Interval_490	IX	138226	139578	+	1353	50	46	122	53	49	127
Interval_491	IX	150115	150624	+	510	4	1	27	5	1	28
Interval_492	IX	160037	160764	+	728	9	2	24	11	2	26
Interval_493	IX	165973	166489	+	517	8	20	17	8	20	19
Interval_494	IX	169659	170178	+	520	5	5	36	5	5	46
Interval_495	IX	174931	175582	+	652	12	9	22	16	10	26
Interval_496	IX	177264	178138	+	875	16	17	68	18	17	72
Interval_497	IX	193185	193491	+	307	4	3	11	4	3	15
Interval_498	IX	197516	197888	+	373	11	7	22	14	7	30
Interval_499	IX	207400	207700	+	301	2	0	11	4	0	14
Interval_500	IX	210582	210873	+	292	9	7	13	9	8	17
Interval_501	IX	214967	216622	+	1656	11	18	26	11	19	25
Interval_502	IX	220755	220955	+	201	4	1	10	4	3	10
Interval_503	IX	222562	222899	+	338	11	5	17	13	6	20
Interval_504	IX	232375	232934	+	560	25	34	54	28	36	61
Interval_505	IX	240778	241012	+	235	2	1	10	2	1	12
Interval_506	IX	241741	242293	+	553	7	1	12	8	0	15
Interval_507	IX	248693	249714	+	1022	68	44	101	75	49	109
Interval_508	IX	254141	255467	+	1327	63	54	118	68	59	131
Interval_509	IX	257188	257639	+	452	25	22	35	30	23	44
Interval_510	IX	258385	258739	+	355	21	9	28	21	11	32
Interval_511	IX	267800	268986	+	1187	33	22	62	32	23	64
Interval_512	IX	270747	270981	+	235	1	0	16	2	2	18
Interval_513	IX	273793	274137	+	345	4	4	15	4	5	15
Interval_514	IX	276223	276423	+	201	1	1	9	1	1	11
Interval_515	IX	291848	292404	+	557	7	3	15	7	4	15
Interval_516	IX	300040	300240	+	201	7	2	2	7	4	5
Interval_517	IX	308872	309670	+	799	3	3	14	5	3	19
Interval_518	IX	310899	311159	+	261	9	3	11	10	4	13
Interval_519	IX	314761	315030	+	270	5	6	19	5	7	22
Interval_520	IX	316315	316688	+	374	20	15	37	22	17	40
Interval_521	IX	321229	322446	+	1218	14	8	23	14	10	27
Interval_522	IX	325488	326042	+	555	14	5	17	14	5	18
Interval_523	IX	332626	333605	+	980	31	29	99	36	35	110
Interval_524	IX	336068	336489	+	422	15	6	17	18	9	18
Interval_525	IX	338271	339195	+	925	14	28	14	16	29	15
Interval_526	IX	343788	344201	+	414	3	1	9	5	1	15
Interval_527	IX	348597	349234	+	638	6	1	19	6	1	20
Interval_528	IX	360205	360742	+	538	11	5	13	13	6	14
Interval_529	IX	370073	370441	+	369	6	1	1	7	0	1
Interval_530	IX	378226	378579	+	354	7	4	8	8	4	11
Interval_531	IX	381783	382674	+	892	19	21	51	21	22	62
Interval_532	IX	384059	384718	+	660	17	18	33	19	22	39
Interval_533	IX	386434	386980	+	547	28	18	53	29	19	59
Interval_534	IX	388329	389197	+	869	12	22	33	12	23	40
Interval_535	IX	394858	395184	+	327	2	7	7	3	9	7
Interval_536	IX	407996	408196	+	201	2	3	9	1	3	11
Interval_537	IX	415696	416135	+	440	18	6	24	19	6	26
Interval_538	IX	421616	422013	+	398	5	3	4	8	4	5
Interval_539	IX	425131	425311	+	181	2	1	2	4	1	2
Interval_540	IX	427278	427686	+	409	3	12	10	5	14	12
Interval_541	IX	439128	439888	+	761	60	74	70	78	83	75
Interval_542	V	210	482	+	273	0	1	0	3	1	1
Interval_543	V	6122	6855	+	734	30	19	29	39	21	31
Interval_544	V	9754	9954	+	201	7	5	7	9	8	10
Interval_545	V	12942	13593	+	652	9	4	26	9	4	29
Interval_546	V	15737	16454	+	718	8	8	25	8	11	24
Interval_547	V	18851	19210	+	360	7	3	18	8	3	19
Interval_548	V	23568	23768	+	201	1	1	8	1	1	9
Interval_549	V	26331	27567	+	1237	13	11	38	14	12	43
Interval_550	V	33602	34492	+	891	11	3	27	11	3	29
Interval_551	V	42010	42775	+	766	19	20	55	19	22	64
Interval_552	V	45943	46173	+	231	3	2	12	3	3	15
Interval_553	V	53171	53977	+	807	33	35	55	36	40	60
Interval_554	V	61068	61493	+	426	0	6	3	0	7	3
Interval_555	V	68732	70314	+	1583	76	67	112	80	84	119
Interval_556	V	77469	77799	+	331	7	7	11	9	9	10
Interval_557	V	79092	79370	+	279	1	5	2	1	6	1
Interval_558	V	79982	80463	+	482	6	4	33	6	5	38
Interval_559	V	82732	82932	+	201	2	2	15	2	1	21
Interval_560	V	84815	85685	+	871	63	49	90	77	56	104
Interval_561	V	86535	86732	+	198	7	4	6	12	5	9
Interval_562	V	99357	100502	+	1146	20	13	23	21	15	27
Interval_563	V	106809	107294	+	486	13	4	23	14	4	27
Interval_564	V	117477	118241	+	765	35	28	100	38	33	111
Interval_565	V	123064	123601	+	538	30	23	64	35	24	75
Interval_566	V	131033	131606	+	574	7	6	20	10	8	22
Interval_567	V	132653	132979	+	327	1	1	22	1	1	24
Interval_568	V	135286	135578	+	293	4	2	19	5	3	21
Interval_569	V	140461	141728	+	1268	73	77	105	75	86	113
Interval_570	V	147864	148036	+	173	3	2	3	4	2	4
Interval_571	V	149950	150195	+	246	1	0	8	2	1	12
Interval_572	V	152424	153452	+	1029	19	23	34	20	26	42
Interval_573	V	156378	156570	+	193	3	4	5	3	3	6
Interval_574	V	159248	159650	+	403	4	4	17	5	4	18
Interval_575	V	162517	162791	+	275	3	3	9	3	3	13
Interval_576	V	174339	175097	+	759	16	7	46	17	8	54
Interval_577	V	177027	177745	+	719	7	10	28	7	11	34
Interval_578	V	191861	192479	+	619	31	22	70	33	24	85
Interval_579	V	194730	195104	+	375	12	6	21	12	7	27
Interval_580	V	202694	202979	+	286	2	3	9	2	4	12
Interval_581	V	208555	208848	+	294	5	4	17	6	6	23
Interval_582	V	211723	212846	+	1124	16	12	47	15	12	48
Interval_583	V	221447	222630	+	1184	37	24	90	39	24	101
Interval_584	V	225292	225727	+	436	12	7	26	15	8	24
Interval_585	V	234580	234799	+	220	1	3	12	1	4	12
Interval_586	V	238260	238898	+	639	5	1	17	6	1	20
Interval_587	V	241942	243057	+	1116	30	27	51	32	27	54
Interval_588	V	248155	248399	+	245	3	4	12	3	4	16
Interval_589	V	259955	260374	+	420	11	5	21	10	5	22
Interval_590	V	261205	261862	+	658	8	6	47	8	7	56
Interval_591	V	264244	264619	+	376	0	2	28	1	2	34
Interval_592	V	266134	266334	+	201	10	7	5	11	8	9
Interval_593	V	268378	268963	+	586	25	20	45	25	22	46
Interval_594	V	270211	270589	+	379	14	21	27	15	21	26
Interval_595	V	279086	279592	+	507	3	0	25	3	0	32
Interval_596	V	280800	281546	+	747	35	19	87	38	18	99
Interval_597	V	284431	285069	+	639	44	28	78	45	28	82
Interval_598	V	291376	291851	+	476	2	2	20	2	2	22
Interval_599	V	292673	292987	+	315	9	5	19	10	6	21
Interval_600	V	294997	295734	+	738	12	8	32	14	8	37
Interval_601	V	298225	298632	+	408	6	6	16	7	6	17
Interval_602	V	303280	303871	+	592	17	30	57	16	32	62
Interval_603	V	305414	306313	+	900	22	6	44	24	7	46
Interval_604	V	311097	312209	+	1113	27	22	76	25	22	85
Interval_605	V	318482	318797	+	316	1	3	17	1	5	18
Interval_606	V	321892	322190	+	299	6	4	12	7	5	14
Interval_607	V	322987	323298	+	312	8	2	6	9	2	7
Interval_608	V	328300	328698	+	399	2	0	9	2	0	12
Interval_609	V	335210	336131	+	922	28	31	107	34	32	115
Interval_610	V	342434	343523	+	1090	27	25	73	27	26	79
Interval_611	V	349119	350027	+	909	14	13	58	16	14	64
Interval_612	V	354658	355915	+	1258	23	26	74	28	35	80
Interval_613	V	361909	362730	+	822	16	18	38	16	22	40
Interval_614	V	377823	378511	+	689	9	6	28	9	6	28
Interval_615	V	386284	387237	+	954	4	14	27	4	14	26
Interval_616	V	396256	396737	+	482	27	27	54	32	33	59
Interval_617	V	400723	401161	+	439	12	6	22	13	6	24
Interval_618	V	402207	402409	+	203	0	0	8	0	2	8
Interval_619	V	408803	409612	+	810	10	12	11	9	13	11
Interval_620	V	414146	414418	+	273	8	2	8	9	3	10
Interval_621	V	422059	423508	+	1450	29	31	58	28	34	65
Interval_622	V	430909	431410	+	502	13	14	23	17	15	28
Interval_623	V	434391	434685	+	295	13	6	16	15	6	17
Interval_624	V	435500	436222	+	723	25	12	21	28	15	24
Interval_625	V	438990	439465	+	476	24	10	26	27	13	29
Interval_626	V	441795	443118	+	1324	68	58	96	77	61	112
Interval_627	V	461559	463307	+	1749	41	32	91	41	36	97
Interval_628	V	467585	468225	+	641	14	11	57	16	13	58
Interval_629	V	474031	475879	+	1849	30	12	60	30	14	62
Interval_630	V	482907	483865	+	959	19	10	19	21	11	19
Interval_631	V	484503	484712	+	210	3	1	10	5	1	12
Interval_632	V	490848	491494	+	647	34	32	49	37	39	55
Interval_633	V	492230	492493	+	264	10	2	12	10	3	18
Interval_634	V	502961	503978	+	1018	12	4	20	12	4	19
Interval_635	V	517538	517862	+	325	5	5	17	6	6	16
Interval_636	V	522715	523123	+	409	9	7	22	8	7	24
Interval_637	V	536135	536335	+	201	0	0	7	0	0	10
Interval_638	V	544480	545577	+	1098	26	18	59	24	16	53
Interval_639	V	546596	547377	+	782	8	7	36	11	6	36
Interval_640	V	551072	551438	+	367	10	1	13	10	1	13
Interval_641	V	552390	552674	+	285	1	2	8	1	3	9
Interval_642	V	558629	559376	+	748	8	10	28	8	11	29
Interval_643	V	560508	560770	+	263	1	3	7	0	3	10
Interval_644	V	567605	567865	+	261	5	3	19	6	5	21
Interval_645	V	569285	570628	+	1344	63	46	100	79	67	118
Interval_646	VI	4481	5379	+	899	61	66	63	74	82	69
Interval_647	VI	16592	16853	+	262	4	4	8	4	7	8
Interval_648	VI	22852	23177	+	326	2	4	12	3	4	13
Interval_649	VI	27755	28203	+	449	10	1	14	10	1	20
Interval_650	VI	31082	31282	+	201	4	7	4	5	8	6
Interval_651	VI	31852	32289	+	438	6	3	14	6	3	15
Interval_652	VI	49386	49609	+	224	1	2	4	1	5	5
Interval_653	VI	54913	56409	+	1497	26	23	46	28	24	50
Interval_654	VI	58256	58549	+	294	4	2	12	5	3	15
Interval_655	VI	74702	75103	+	402	14	7	32	15	7	33
Interval_656	VI	76563	77610	+	1048	17	5	21	19	7	23
Interval_657	VI	81941	82504	+	564	18	12	33	19	14	36
Interval_658	VI	90272	91005	+	734	28	18	47	33	21	50
Interval_659	VI	95147	96018	+	872	50	30	68	52	34	69
Interval_660	VI	101125	101513	+	389	15	2	14	17	2	13
Interval_661	VI	106298	107723	+	1426	26	20	142	28	22	158
Interval_662	VI	109938	110138	+	201	8	2	8	7	2	10
Interval_663	VI	115857	116057	+	201	2	2	7	2	3	10
Interval_664	VI	129837	130273	+	437	6	3	14	6	3	16
Interval_665	VI	153166	153424	+	259	3	0	11	4	0	11
Interval_666	VI	155921	156210	+	290	1	2	18	1	2	18
Interval_667	VI	157839	158078	+	240	8	5	7	9	6	10
Interval_668	VI	162211	162574	+	364	5	9	5	5	9	7
Interval_669	VI	176558	177141	+	584	8	4	45	8	3	57
Interval_670	VI	182605	184390	+	1786	52	47	111	58	53	120
Interval_671	VI	191180	192219	+	1040	11	7	20	14	7	21
Interval_672	VI	204689	205219	+	531	14	7	16	14	8	21
Interval_673	VI	206235	207674	+	1440	2	4	25	3	4	25
Interval_674	VI	210204	211329	+	1126	13	8	19	15	7	23
Interval_675	VI	212966	213250	+	285	5	6	13	5	6	14
Interval_676	VI	221521	221958	+	438	33	27	52	41	40	57
Interval_677	VI	223880	224128	+	249	7	15	32	7	16	34
Interval_678	VI	224807	226858	+	2052	124	105	161	140	115	183
Interval_679	VI	233719	233936	+	218	5	6	14	5	5	14
Interval_680	VI	247661	248465	+	805	1	2	17	1	2	20
Interval_681	VI	249205	249999	+	795	5	4	18	7	5	20
Interval_682	VI	251873	252329	+	457	11	4	11	12	5	15
Interval_683	VI	255308	256489	+	1182	22	5	80	23	6	96
Interval_684	VI	263131	263899	+	769	11	14	21	12	15	23
Interval_685	VI	269900	270161	+	262	10	13	5	10	8	9
Interval_686	VII	0	672	+	673	30	35	36	50	43	49
Interval_687	VII	10091	10531	+	441	6	8	15	6	8	19
Interval_688	VII	20432	20668	+	237	2	4	14	3	5	13
Interval_689	VII	23131	23792	+	662	29	19	62	30	23	71
Interval_690	VII	31534	31794	+	261	1	0	12	1	0	17
Interval_691	VII	31836	32006	+	171	3	0	1	4	0	1
Interval_692	VII	35197	35404	+	208	2	1	3	2	1	6
Interval_693	VII	36644	36963	+	320	3	4	10	3	4	12
Interval_694	VII	45283	45490	+	208	1	1	10	1	1	9
Interval_695	VII	55536	56506	+	971	16	9	27	15	12	25
Interval_696	VII	66778	67681	+	904	19	9	40	19	11	41
Interval_697	VII	73310	74769	+	1460	40	20	25	42	20	26
Interval_698	VII	76422	76828	+	407	6	3	25	8	5	28
Interval_699	VII	81208	81467	+	260	4	6	15	4	5	16
Interval_700	VII	84354	84659	+	306	4	1	16	4	1	18
Interval_701	VII	94794	95711	+	918	11	9	56	10	10	58
Interval_702	VII	110206	110973	+	768	15	12	24	18	14	25
Interval_703	VII	115023	115866	+	844	14	11	20	16	12	24
Interval_704	VII	121882	122592	+	711	21	12	29	23	14	33
Interval_705	VII	123417	124573	+	1157	10	5	36	10	7	40
Interval_706	VII	141767	142058	+	292	4	0	15	5	0	18
Interval_707	VII	144123	144728	+	606	11	5	30	12	8	29
Interval_708	VII	147812	148039	+	228	3	2	9	3	1	9
Interval_709	VII	148991	149424	+	434	26	17	41	28	18	45
Interval_710	VII	152863	153063	+	201	6	9	10	7	11	12
Interval_711	VII	156264	156524	+	261	4	6	16	4	8	18
Interval_712	VII	157507	157804	+	298	7	4	8	7	4	11
Interval_713	VII	159132	159585	+	454	6	5	20	7	6	22
Interval_714	VII	165016	166722	+	1707	29	26	94	30	24	104
Interval_715	VII	185724	185953	+	230	0	2	10	0	2	11
Interval_716	VII	190267	191916	+	1650	13	9	65	13	11	69
Interval_717	VII	197003	198023	+	1021	33	16	68	33	18	73
Interval_718	VII	200091	200513	+	423	1	4	18	2	5	20
Interval_719	VII	205320	206802	+	1483	31	14	57	34	15	58
Interval_720	VII	225822	226289	+	468	5	7	13	5	6	16
Interval_721	VII	228361	228741	+	381	14	9	16	15	9	17
Interval_722	VII	229804	230144	+	341	12	2	20	14	3	23
Interval_723	VII	254109	254620	+	512	13	5	8	14	6	9
Interval_724	VII	271061	272284	+	1224	78	64	189	90	71	212
Interval_725	VII	276843	277551	+	709	16	17	39	18	19	43
Interval_726	VII	280651	281397	+	747	4	6	16	4	7	18
Interval_727	VII	283878	284509	+	632	5	1	16	7	1	17
Interval_728	VII	287198	287529	+	332	7	7	16	8	8	23
Interval_729	VII	289423	289623	+	201	7	2	1	6	2	2
Interval_730	VII	306292	306550	+	259	7	3	14	8	4	15
Interval_731	VII	307223	307424	+	202	0	8	6	0	8	10
Interval_732	VII	310616	310940	+	325	8	4	17	8	5	18
Interval_733	VII	311612	312396	+	785	4	7	8	5	10	8
Interval_734	VII	316562	317103	+	542	5	2	12	7	4	15
Interval_735	VII	319710	320011	+	302	8	5	23	9	7	28
Interval_736	VII	323530	325070	+	1541	18	15	58	18	16	59
Interval_737	VII	328513	328716	+	204	4	0	9	6	0	10
Interval_738	VII	345720	347112	+	1393	12	15	36	12	17	39
Interval_739	VII	347340	347670	+	331	3	0	0	4	1	1
Interval_740	VII	358460	358656	+	197	1	2	6	3	1	7
Interval_741	VII	366014	366407	+	394	7	15	14	7	14	16
Interval_742	VII	368314	368681	+	368	11	7	15	13	8	20
Interval_743	VII	370764	371642	+	879	21	28	46	26	30	49
Interval_744	VII	384481	385417	+	937	35	23	127	39	27	142
Interval_745	VII	393691	393972	+	282	4	1	12	4	3	15
Interval_746	VII	397867	398476	+	610	48	33	69	55	40	75
Interval_747	VII	404418	404714	+	297	2	3	5	3	4	12
Interval_748	VII	405410	405934	+	525	10	1	12	12	1	13
Interval_749	VII	412149	413680	+	1532	38	27	77	41	30	89
Interval_750	VII	420657	420857	+	201	6	1	9	7	4	13
Interval_751	VII	422296	423576	+	1281	22	12	31	30	14	41
Interval_752	VII	428047	428505	+	459	12	11	45	12	11	49
Interval_753	VII	433001	434016	+	1016	26	16	63	28	20	71
Interval_754	VII	438240	438902	+	663	23	17	43	20	20	47
Interval_755	VII	443372	443688	+	317	6	4	11	6	6	15
Interval_756	VII	452020	452274	+	255	3	1	16	3	2	17
Interval_757	VII	458051	458332	+	282	1	2	8	1	2	10
Interval_758	VII	465375	465584	+	210	0	0	6	0	1	7
Interval_759	VII	471964	472938	+	975	12	3	42	11	3	47
Interval_760	VII	482958	484329	+	1372	44	67	80	44	72	88
Interval_761	VII	508419	508857	+	439	3	3	19	4	3	23
Interval_762	VII	513064	513257	+	194	3	0	8	3	0	10
Interval_763	VII	515923	516716	+	794	18	10	41	18	10	46
Interval_764	VII	525501	525898	+	398	5	7	36	8	7	39
Interval_765	VII	528373	528987	+	615	17	10	49	17	10	50
Interval_766	VII	532625	532825	+	201	2	0	10	3	0	11
Interval_767	VII	534914	535452	+	539	5	9	7	5	11	10
Interval_768	VII	541599	542072	+	474	2	5	12	2	7	14
Interval_769	VII	544548	544966	+	419	4	6	9	7	9	10
Interval_770	VII	547085	547767	+	683	23	12	64	26	15	72
Interval_771	VII	555148	555730	+	583	15	15	20	18	18	20
Interval_772	VII	557647	557938	+	292	8	6	27	10	5	30
Interval_773	VII	560007	560471	+	465	11	4	27	12	5	30
Interval_774	VII	561633	561909	+	277	6	3	2	7	6	4
Interval_775	VII	576463	577004	+	542	18	12	30	18	11	30
Interval_776	VII	581561	581985	+	425	6	3	34	6	4	35
Interval_777	VII	583868	584678	+	811	11	8	31	12	7	35
Interval_778	VII	591633	593298	+	1666	51	29	190	53	30	206
Interval_779	VII	598831	599324	+	494	15	9	58	16	9	68
Interval_780	VII	609230	610524	+	1295	44	33	106	48	31	116
Interval_781	VII	617668	618364	+	697	10	4	14	11	5	15
Interval_782	VII	625147	625642	+	496	21	7	60	27	8	72
Interval_783	VII	640487	640800	+	314	8	7	6	11	7	7
Interval_784	VII	643701	644024	+	324	5	2	14	5	2	17
Interval_785	VII	649017	649217	+	201	4	5	7	4	5	9
Interval_786	VII	650656	651507	+	852	31	14	64	32	14	72
Interval_787	VII	653952	654614	+	663	12	7	71	12	10	79
Interval_788	VII	661677	662088	+	412	13	11	24	13	13	29
Interval_789	VII	667826	668026	+	201	4	5	6	5	6	9
Interval_790	VII	671927	672136	+	210	3	4	12	3	4	13
Interval_791	VII	677385	678563	+	1179	16	8	57	16	8	59
Interval_792	VII	699901	701036	+	1136	18	8	34	20	9	37
Interval_793	VII	702691	703225	+	535	15	13	39	15	13	41
Interval_794	VII	706828	707204	+	377	4	9	17	6	10	18
Interval_795	VII	708986	709411	+	426	3	1	8	4	2	15
Interval_796	VII	726482	726967	+	486	24	21	42	26	22	46
Interval_797	VII	732731	733819	+	1089	18	17	65	18	18	65
Interval_798	VII	739030	739802	+	773	36	13	52	40	15	58
Interval_799	VII	753835	754421	+	587	8	4	37	8	5	38
Interval_800	VII	756438	757660	+	1223	12	6	44	12	6	46
Interval_801	VII	766111	766625	+	515	19	12	44	20	14	50
Interval_802	VII	771958	772236	+	279	9	7	27	7	10	32
Interval_803	VII	774250	774810	+	561	23	16	54	28	19	60
Interval_804	VII	779636	780761	+	1126	6	8	28	7	7	30
Interval_805	VII	785353	786046	+	694	32	20	73	33	20	78
Interval_806	VII	788205	788813	+	609	24	17	38	31	20	50
Interval_807	VII	793009	793209	+	201	2	4	8	1	5	10
Interval_808	VII	794251	794453	+	203	7	2	7	7	2	8
Interval_809	VII	795796	796753	+	958	2	2	14	2	2	14
Interval_810	VII	798141	798527	+	387	6	9	17	10	9	23
Interval_811	VII	800190	800415	+	226	4	3	12	4	3	12
Interval_812	VII	801606	801993	+	388	4	3	9	5	4	8
Interval_813	VII	809514	811235	+	1722	34	22	107	39	24	120
Interval_814	VII	823454	823893	+	440	10	10	18	8	10	18
Interval_815	VII	828241	828943	+	703	3	5	18	3	5	20
Interval_816	VII	836814	837014	+	201	2	2	10	2	2	10
Interval_817	VII	837031	837249	+	219	4	0	2	5	0	2
Interval_818	VII	840485	841140	+	656	0	1	11	1	1	14
Interval_819	VII	847917	849527	+	1611	13	12	38	14	13	40
Interval_820	VII	850605	851168	+	564	12	2	10	11	4	14
Interval_821	VII	856477	857912	+	1436	52	29	95	54	37	110
Interval_822	VII	859457	859822	+	366	7	6	17	8	7	20
Interval_823	VII	871474	871733	+	260	4	2	14	4	2	14
Interval_824	VII	877056	877269	+	214	7	0	6	9	1	7
Interval_825	VII	878394	878709	+	316	8	5	24	8	5	26
Interval_826	VII	882482	884478	+	1997	56	69	86	64	80	98
Interval_827	VII	892150	892396	+	247	1	0	12	1	0	15
Interval_828	VII	894183	894945	+	763	8	5	28	9	7	33
Interval_829	VII	904914	905907	+	994	68	40	118	75	45	137
Interval_830	VII	913184	915314	+	2131	24	12	56	28	11	56
Interval_831	VII	919722	920591	+	870	30	33	56	31	37	57
Interval_832	VII	922015	922440	+	426	4	2	14	7	2	15
Interval_833	VII	930911	931241	+	331	3	4	8	3	5	11
Interval_834	VII	936822	937140	+	319	0	3	10	0	3	14
Interval_835	VII	939049	939884	+	836	11	6	22	12	8	25
Interval_836	VII	942327	942531	+	205	3	0	6	4	0	8
Interval_837	VII	951266	951904	+	639	6	7	29	5	7	32
Interval_838	VII	953605	953929	+	325	9	3	17	11	3	19
Interval_839	VII	958483	959746	+	1264	16	23	34	16	24	37
Interval_840	VII	962031	962258	+	228	1	0	11	1	0	13
Interval_841	VII	969167	969705	+	539	5	4	16	5	5	18
Interval_842	VII	974222	974877	+	656	12	17	42	14	16	54
Interval_843	VII	976790	977252	+	463	16	12	49	17	12	53
Interval_844	VII	986819	987919	+	1101	42	35	102	42	38	113
Interval_845	VII	993800	994263	+	464	4	5	24	4	6	26
